Project_ID,Industry,Agent_Type,Primary_Tool,Status,Failure_Reason,Human_in_the_Loop_Ratio,Tokens_per_Task,ROI_Score
AGP-0001,Insurance,Autonomous,LangGraph,Production,,0.389,2094,2.51
AGP-0002,Retail,Assistant,CrewAI,Production,,0.99,5993,3.78
AGP-0003,Energy,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.475,9032,0.91
AGP-0004,Technology,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.372,8735,0.75
AGP-0005,Finance,Autonomous,LangGraph,Production,,0.613,1645,2.58
AGP-0006,Telecom,Autonomous,CrewAI,Abandoned,Schema Drift,0.168,3713,-0.38
AGP-0007,Insurance,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Schema Drift,0.478,10530,-1.51
AGP-0008,Insurance,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.224,6478,-0.71
AGP-0009,Finance,Assistant,CrewAI,Production,,0.795,2821,1.22
AGP-0010,Retail,Assistant,LangGraph,Production,,0.724,4428,4.49
AGP-0011,Retail,Assistant,LangGraph,Production,,0.78,3022,3.33
AGP-0012,Government,Assistant,CrewAI,Production,,0.641,2117,2.95
AGP-0013,Technology,Autonomous,LangGraph,Pilot,Schema Drift,0.128,2146,1.51
AGP-0014,Energy,Autonomous,CrewAI,Abandoned,Cost Overrun,0.132,5087,-0.49
AGP-0015,Retail,Autonomous,LangGraph,Abandoned,Security Violation,0.199,5113,-0.47
AGP-0016,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.223,2330,1.66
AGP-0017,Manufacturing,Autonomous,CrewAI,Abandoned,Cost Overrun,0.064,4627,-1.15
AGP-0018,Finance,Autonomous,CrewAI,Abandoned,Loop Error,0.071,5305,-0.71
AGP-0019,Energy,Assistant,CrewAI,Pilot,Cost Overrun,0.717,2893,-0.38
AGP-0020,Technology,Autonomous,CrewAI,Pilot,Schema Drift,0.259,4455,0.07
AGP-0021,Insurance,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.054,6562,0.81
AGP-0022,Legal,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.66,6223,0.86
AGP-0023,Telecom,Assistant,AutoGPT 3.0,Pilot,Schema Drift,0.748,6457,1.12
AGP-0024,Government,Assistant,CrewAI,Pilot,Loop Error,0.708,8152,-0.89
AGP-0025,Insurance,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.516,1964,0.46
AGP-0026,Healthcare,Autonomous,CrewAI,Pilot,Schema Drift,0.371,5000,0.82
AGP-0027,Retail,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.517,7098,-0.77
AGP-0028,Finance,Multi-agent Swarm,LangGraph,Abandoned,Schema Drift,0.268,5581,-0.47
AGP-0029,Finance,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.66,7046,0.88
AGP-0030,Technology,Assistant,LangGraph,Pilot,Cost Overrun,0.89,3113,2.1
AGP-0031,Insurance,Assistant,LangGraph,Pilot,Security Violation,0.765,4740,2.19
AGP-0032,Telecom,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.917,5689,0.14
AGP-0033,Legal,Assistant,LangGraph,Pilot,Schema Drift,0.771,4676,0.33
AGP-0034,Retail,Autonomous,CrewAI,Pilot,Security Violation,0.049,3423,0.27
AGP-0035,Retail,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.638,8826,-0.09
AGP-0036,Healthcare,Assistant,LangGraph,Abandoned,Security Violation,0.581,2375,-0.5
AGP-0037,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.597,6631,0.26
AGP-0038,Retail,Assistant,LangGraph,Abandoned,Loop Error,0.948,4667,-0.36
AGP-0039,Healthcare,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.229,5895,0.66
AGP-0040,Technology,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.847,6020,0.3
AGP-0041,Retail,Assistant,LangGraph,Abandoned,Schema Drift,0.775,3929,-0.21
AGP-0042,Energy,Assistant,LangGraph,Pilot,Security Violation,0.623,2608,1.14
AGP-0043,Technology,Autonomous,LangGraph,Abandoned,Security Violation,0.045,4013,-0.7
AGP-0044,Legal,Autonomous,LangGraph,Abandoned,Security Violation,0.131,1571,0.14
AGP-0045,Energy,Assistant,LangGraph,Production,,0.899,3960,2.27
AGP-0046,Energy,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.786,7017,-0.32
AGP-0047,Retail,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.586,4285,0.22
AGP-0048,Healthcare,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.039,3256,1.02
AGP-0049,Technology,Autonomous,LangGraph,Pilot,Schema Drift,0.126,2573,0.94
AGP-0050,Finance,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.044,8270,1.54
AGP-0051,Healthcare,Assistant,LangGraph,Abandoned,Loop Error,0.77,3799,-0.48
AGP-0052,Finance,Assistant,CrewAI,Production,,0.925,3960,2.05
AGP-0053,Insurance,Assistant,CrewAI,Pilot,Loop Error,0.749,4365,0.05
AGP-0054,Technology,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.372,3289,1.35
AGP-0055,Technology,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.229,6193,-0.7
AGP-0056,Insurance,Assistant,LangGraph,Abandoned,Loop Error,0.711,5110,-0.96
AGP-0057,Retail,Autonomous,CrewAI,Pilot,Cost Overrun,0.094,4329,0.98
AGP-0058,Manufacturing,Autonomous,CrewAI,Pilot,Security Violation,0.12,3878,1.46
AGP-0059,Finance,Assistant,CrewAI,Abandoned,Loop Error,0.795,5123,-0.94
AGP-0060,Finance,Autonomous,LangGraph,Abandoned,Schema Drift,0.432,3141,-0.33
AGP-0061,Technology,Assistant,LangGraph,Abandoned,Schema Drift,0.804,3828,-0.58
AGP-0062,Retail,Assistant,LangGraph,Pilot,Loop Error,0.698,5017,0.67
AGP-0063,Manufacturing,Assistant,LangGraph,Pilot,Cost Overrun,0.845,3094,-0.05
AGP-0064,Insurance,Assistant,LangGraph,Pilot,Security Violation,0.853,3868,1.81
AGP-0065,Technology,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.615,5706,1.89
AGP-0066,Manufacturing,Assistant,CrewAI,Abandoned,Schema Drift,0.475,4368,-1.36
AGP-0067,Manufacturing,Autonomous,CrewAI,Pilot,Cost Overrun,0.103,4386,2.13
AGP-0068,Legal,Autonomous,LangGraph,Abandoned,Loop Error,0.133,2330,-0.41
AGP-0069,Finance,Assistant,LangGraph,Abandoned,Security Violation,0.505,5264,-0.84
AGP-0070,Retail,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.309,4927,-0.68
AGP-0071,Healthcare,Autonomous,LangGraph,Abandoned,Loop Error,0.359,2810,-0.32
AGP-0072,Retail,Assistant,LangGraph,Abandoned,Security Violation,0.766,4168,-0.41
AGP-0073,Energy,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.752,5680,1.51
AGP-0074,Healthcare,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.231,2451,0.71
AGP-0075,Finance,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.929,5901,-0.29
AGP-0076,Healthcare,Assistant,LangGraph,Abandoned,Cost Overrun,0.737,4264,-0.25
AGP-0077,Legal,Assistant,CrewAI,Abandoned,Security Violation,0.666,5105,-0.43
AGP-0078,Technology,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.587,8338,-0.63
AGP-0079,Manufacturing,Autonomous,LangGraph,Pilot,Schema Drift,0.081,4666,1.19
AGP-0080,Insurance,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.514,5031,1.02
AGP-0081,Technology,Autonomous,LangGraph,Pilot,Security Violation,0.234,1594,1.1
